"dataset","dataset_size","model_id","eps_targeted","delta","bs","epochs","lr","C","sampling_rate","sigma","trainable_parameters","training_loss","training_accuracy","test_loss","test_accuracy"
"CIFAR-10",50000,"DP-CNN",3,1e-05,37072,250,8.40622265242661,3.62705184779255,0.74144,15.6640625,550570,2.37572416237422,0.265762500301977,2.35499227046966,0.2817
"CIFAR-10",50000,"DP-CNN",3,1e-05,10448,420,3.02037033407655,4.60426878826006,0.20896,12.8515625,550570,2.03225484689077,0.306789653187844,2.04274392127991,0.3087
"CIFAR-10",50000,"DP-CNN",3,1e-05,3872,350,8.18839074595297,2.67303827579075,0.07744,7.3046875,550570,2.85078529211191,0.148933653032697,2.80221670866012,0.153694372399039
"CIFAR-10",50000,"DP-CNN",3,1e-05,12032,395,3.52432492750028,2.54266483560686,0.24064,12.4609375,550570,1.88964775403341,0.370381511410705,1.85236990451812,0.3866
"CIFAR-10",50000,"DP-CNN",3,1e-05,10144,375,7.19517366188664,2.99854584127919,0.20288,12.1484375,550570,2.32854278882345,0.237801246654228,2.3077951669693,0.2455
"CIFAR-10",50000,"DP-CNN",3,1e-05,36256,260,3.70758607782393,8.13619278361805,0.72512,15.9765625,550570,2.16375746045794,0.294554664725139,2.17167329788208,0.3073
"CIFAR-10",50000,"DP-CNN",3,1e-05,12528,150,3.22621427837408,3.01723737793889,0.25056,8.6328125,550570,1.74010239754404,0.453425670892953,1.65212148427964,0.4747
"CIFAR-10",50000,"DP-CNN",3,1e-05,27712,360,6.31229792488615,7.77026361179487,0.55424,18.7890625,550570,3.53483389105116,0.183311449612354,3.3408340215683,0.1949
"CIFAR-10",50000,"DP-CNN",3,1e-05,7280,225,2.79793885536096,1.45640775741929,0.1456,7.98828125,550570,1.64623845475061,0.535231902082393,1.66241759061813,0.5337
"CIFAR-10",50000,"DP-CNN",3,1e-05,26000,115,9.91456679833574,4.70588995189391,0.52,10.6640625,550570,2.41710828031812,0.29257506337374,2.41605317592621,0.3012
"CIFAR-10",50000,"DP-CNN",3,1e-05,19616,65,2.0579442265264,2.57968005121613,0.39232,6.6015625,550570,1.35385596752167,0.555156764126071,1.37803083658218,0.5503
"CIFAR-10",50000,"DP-CNN",3,1e-05,37664,150,7.55706052794557,0.507722802087496,0.75328,12.1484375,550570,1.44984748730293,0.567645341969312,1.3988669514656,0.5775
"CIFAR-10",50000,"DP-CNN",3,1e-05,35616,280,6.23859144939559,0.288183305770955,0.71232,16.5625,550570,1.41252165181296,0.584393902849105,1.43198609352112,0.5774
"CIFAR-10",50000,"DP-CNN",3,1e-05,30496,410,0.1370469665095,5.06808203252583,0.60992,20.0390625,550570,1.41665119784219,0.51920464550396,1.42525345087051,0.5138
"CIFAR-10",50000,"DP-CNN",3,1e-05,29904,120,8.67782393564903,0.234166653484215,0.59808,10.8984375,550570,1.64165803364345,0.475921922851919,1.58841437101364,0.4776
"CIFAR-10",50000,"DP-CNN",3,1e-05,10784,35,1.1652736701406,1.2295023169291,0.21568,3.84765625,550570,1.72958992481232,0.400688022311346,1.69133585691452,0.4096
"CIFAR-10",50000,"DP-CNN",3,1e-05,42672,155,2.1976453206472,9.00525985836239,0.85344,12.34375,550570,1.8421179992812,0.417066920098707,1.81990039348602,0.4201
"CIFAR-10",50000,"DP-CNN",3,1e-05,27056,25,3.92800363714975,6.25069141705164,0.54112,5.078125,550570,2.29745076383863,0.157695132573232,2.13875997066498,0.221
"CIFAR-10",50000,"DP-CNN",3,1e-05,41104,200,0.0472044592878555,5.05394157182801,0.82208,14.0234375,550570,1.87133554901396,0.337074559195915,1.8522230386734,0.3483
"CIFAR-10",50000,"DP-CNN",3,1e-05,38688,225,8.55975153295406,1.07984942565558,0.77376,14.84375,550570,1.60496385608401,0.54765594942067,1.72469288110733,0.5297
"CIFAR-10",50000,"DP-CNN",3,1e-05,1856,285,1.71427077361691,8.17312157845257,0.03712,4.609375,550570,2.60464504913047,0.156587195619844,2.78472777207693,0.14169143107018
"CIFAR-10",50000,"DP-CNN",3,1e-05,20144,380,1.27068248866362,8.15904351992094,0.40288,15.78125,550570,1.7671763420105,0.397841967295808,1.69495058059693,0.4209
"CIFAR-10",50000,"DP-CNN",3,1e-05,1760,295,3.62118384588816,5.27925628813987,0.0352,4.53125,550570,26.9554536753687,0.119991070848811,27.0820096333822,0.125104934479935
"CIFAR-10",50000,"DP-CNN",3,1e-05,30480,390,2.37107307916827,2.68381170967505,0.6096,19.53125,550570,1.62072592973709,0.549517753802114,1.66899704933167,0.5432
"CIFAR-10",50000,"DP-CNN",3,1e-05,11280,230,3.00396061650482,8.0888564569128,0.2256,9.53125,550570,2.39685432116191,0.244072568682197,2.27536845207214,0.247
"CIFAR-10",50000,"DP-CNN",3,1e-05,28608,235,2.71634434506156,9.88085201262062,0.57216,15.1953125,550570,2.62271847043719,0.249972229609008,2.63821887969971,0.2628
"CIFAR-10",50000,"DP-CNN",3,1e-05,27584,230,3.7868130356493,6.70654255842762,0.55168,15.0390625,550570,2.44643817629133,0.280432949075561,2.36138772964477,0.292
"CIFAR-10",50000,"DP-CNN",3,1e-05,20112,365,5.98863242710298,2.44664700786007,0.40224,15.46875,550570,2.02748663337142,0.336217667557791,1.95522892475128,0.3564
"CIFAR-10",50000,"DP-CNN",3,1e-05,7088,470,3.96493936035719,2.59838096749892,0.14176,10.7421875,550570,2.01131332665682,0.299007156784233,2.00158041715622,0.3084
"CIFAR-10",50000,"DP-CNN",3,1e-05,7392,50,1.11860483746069,1.55987319996816,0.14784,3.8671875,550570,1.5183131652219,0.507389120966931,1.50820261240005,0.5071
"CIFAR-10",50000,"DP-CNN",3,1e-05,22656,325,5.50260910511475,5.84428766371816,0.45312,14.5703125,550570,2.57452721948977,0.227532296582611,2.5223217010498,0.2427
"CIFAR-10",50000,"DP-CNN",3,1e-05,28928,380,4.39450595249058,9.39483962346003,0.57856,19.296875,550570,2.93335820947375,0.201536895735921,2.69939184188843,0.2106
"CIFAR-10",50000,"DP-CNN",3,1e-05,20784,415,9.10595706292261,2.56055958128586,0.41568,16.484375,550570,2.37372918128967,0.249256634865974,2.31183791160583,0.264
"CIFAR-10",50000,"DP-CNN",3,1e-05,42448,460,7.55044648779761,9.11564041896182,0.84896,21.2109375,550570,4.75340018953596,0.163300388618081,4.52600169181824,0.1723
"CIFAR-10",50000,"DP-CNN",3,1e-05,43536,440,6.44481540244182,9.76944660840827,0.87072,20.78125,550570,5.69627550670079,0.148520191242773,5.78120923042297,0.1836
"CIFAR-10",50000,"DP-CNN",3,1e-05,224,320,1.33224723854982,6.02405250310843,0.00448,1.8115234375,550570,15.3226374941213,0.132153222439291,15.1526750274327,0.147558661145618
"CIFAR-10",50000,"DP-CNN",3,1e-05,20096,380,4.95769957727927,2.3612380007536,0.40192,15.78125,550570,1.84073555469513,0.384781706325602,1.79931491613388,0.3993
"CIFAR-10",50000,"DP-CNN",3,1e-05,23936,330,8.18630239600783,6.39105288841118,0.47872,14.6875,550570,5.48440841039022,0.169203594693909,4.71881723403931,0.205
"CIFAR-10",50000,"DP-CNN",3,1e-05,31296,115,2.84672569246631,7.03361581270275,0.62592,10.6640625,550570,1.71837889689666,0.431383215661741,1.75055885314941,0.4327
"CIFAR-10",50000,"DP-CNN",3,1e-05,16912,135,5.59143477387822,6.32637247564192,0.33824,9.453125,550570,3.49072823524475,0.24491587409355,3.39523804187775,0.256
"CIFAR-10",50000,"DP-CNN",3,1e-05,35152,270,5.77639104645022,1.34139998132144,0.70304,16.2890625,550570,1.63262945413589,0.566827704052969,1.68000555038452,0.5618
"CIFAR-10",50000,"DP-CNN",3,1e-05,25408,275,8.1463230659054,0.196862369847928,0.50816,16.40625,550570,1.5091398528644,0.55872447580783,1.54011940956116,0.5558
"CIFAR-10",50000,"DP-CNN",3,1e-05,31280,55,4.60467361298656,0.648172491707056,0.6256,7.421875,550570,1.71533529575054,0.414263124017166,1.67230087518692,0.4207
"CIFAR-10",50000,"DP-CNN",3,1e-05,44048,345,0.314510193795171,5.86217294821678,0.88096,18.359375,550570,1.10263282060623,0.640017721213098,1.14586740732193,0.6263
