"dataset","dataset_size","model_id","eps_targeted","delta","bs","epochs","lr","C","sampling_rate","sigma","trainable_parameters","training_loss","training_accuracy","test_loss","test_accuracy"
"CIFAR-100",50000,"D121",7.5,1e-05,4480,425,4.23605936060623,7.21301261790496,0.0896,3.85498046875,7056356,4.65608148174432,0.0105585402266441,4.62337568173042,0.0129574724814826
"CIFAR-100",50000,"D121",7.5,1e-05,43008,45,0.192002728883763,9.87466989704923,0.86016,3.12744140625,7056356,4.20369973961188,0.0857315611746431,4.20175490379333,0.0902
"CIFAR-100",50000,"D121",7.5,1e-05,9648,170,0.490761915970204,5.37130010355076,0.19296,3.4765625,7056356,3.42831186219758,0.19113376336044,3.50146951675415,0.185332073413161
"CIFAR-100",50000,"D121",7.5,1e-05,25296,420,6.5381236532939,3.74074210421324,0.50592,9.228515625,7056356,4.28086028293687,0.0533525739062748,4.25310056209564,0.0626
"CIFAR-100",50000,"D121",7.5,1e-05,21984,460,2.08740835827201,8.66901396603938,0.43968,7.900390625,7056356,3.66867672313343,0.15372373316979,3.67632048130035,0.1586
"CIFAR-100",50000,"D121",7.5,1e-05,28592,235,9.65906946313215,0.363512213735122,0.57184,6.93359375,7056356,3.45889692354684,0.187246156155993,3.45949155092239,0.1908
"CIFAR-100",50000,"D121",7.5,1e-05,39552,80,1.24135664382738,5.14385963787858,0.79104,4.1015625,7056356,3.69652069596683,0.143365961769323,3.66837713810114,0.148193586422213
"CIFAR-100",50000,"D121",7.5,1e-05,17184,125,1.3482157083468,1.69872297565387,0.34368,4.189453125,7056356,3.60504137626802,0.163841793898171,3.63638751506805,0.1631
"CIFAR-100",50000,"D121",7.5,1e-05,7568,280,1.50367476624967,2.44427966094676,0.15136,4.0966796875,7056356,3.49181376593982,0.181425832647949,3.48880692170216,0.188755389204702
"CIFAR-100",50000,"D121",7.5,1e-05,27056,460,0.398081520277384,3.90111719308002,0.54112,9.658203125,7056356,3.66887164597559,0.15513469647458,3.7017927646637,0.1545
"CIFAR-100",50000,"D121",7.5,1e-05,39312,100,7.91928815809198,0.920809497158754,0.78624,4.5654296875,7056356,3.56106744995413,0.169855174794038,3.57994794387084,0.169109435199947
"CIFAR-100",50000,"D121",7.5,1e-05,9008,210,6.30715500180608,5.24285749686228,0.18016,3.8427734375,7056356,4.23221190955288,0.0488207584103422,4.23686032111828,0.0525967809497533
"CIFAR-100",50000,"D121",7.5,1e-05,18928,360,8.27139487692491,3.15943264079482,0.37856,7.001953125,7056356,3.95007568836212,0.104144336040453,3.82094962596893,0.1252
"CIFAR-100",50000,"D121",7.5,1e-05,43792,250,7.43812547996198,0.738830699458152,0.87584,7.1435546875,7056356,3.56705733388662,0.163938262718351,3.54983431100845,0.169897224159692
"CIFAR-100",50000,"D121",7.5,1e-05,14048,495,8.99817026814752,4.7177212076952,0.28096,7.109375,7056356,4.60907069034874,0.0111676078188093,4.6020752283243,0.0146031577985917
